"","X","egoID","alter.initial","egoalt_relation","egoalt_relate_othr","egoalter_tie","egoalter_commfreq","alter.gender","alt.gender_othr","alter.age","alter.acad.val","alter.career.val","alter.edu","alter.edu.othr","e0102","e0103","e0203","e0104","e0204","e0304","e0105","e0205","e0305","e0405","e0106","e0206","e0306","e0406","e0506","e0107","e0207","e0307","e0407","e0507","e0607","e0108","e0208","e0308","e0408","e0508","e0608","e0708","e0109","e0209","e0309","e0409","e0509","e0609","e0709","e0809","e0110","e0210","e0310","e0410","e0510","e0610","e0710","e0810","e0910","alterID","alter.genderbi"
"854",854,2504,"mm",1,"",10,1,1,"",53,8,8,4,"",-6,6,7,6,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250401,0
"855",855,2505,"hl",1,"",7,1,1,"",52,10,8,7,"",9,-2,7,7,9,10,6,8,9,6,5,6,8,6,10,5,5,10,3,3,3,5,7,9,9,7,5,8,5,5,7,0,0,0,0,10,3,7,0,0,3,3,0,10,10,250501,0
"856",856,2507,"dc",1,"",10,2,2,"",53,4,10,4,"",4,3,4,10,8,7,5,3,4,0,0,0,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250701,1
"857",857,2508,"sc",1,"",10,1,1,"",45,10,10,5,"",10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250801,0
"858",858,2511,"mp",1,"",10,1,2,"",53,10,10,7,"",0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251101,1
"859",859,2514,"mom",1,"",10,2,1,"",48,8,10,7,"",6,7,9,0,0,0,0,0,0,0,0,0,0,0,5,8,6,5,-2,8,8,10,8,9,2,0,0,8,0,0,0,7,0,0,4,7,3,3,0,0,4,7,7,8,0,251401,0
"861",861,2517,"nn",4,"",10,2,2,"",26,6,9,8,"",10,10,10,5,2,7,7,4,8,4,3,6,6,8,8,3,6,3,5,5,8,6,4,4,7,4,9,5,7,5,8,6,7,4,9,9,6,5,8,6,7,4,9,7,5,251701,1
"862",862,2518,"aw",1,"",10,1,1,"",51,10,10,7,"",8,10,2,6,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251801,0
"863",863,2520,"bd",1,"",10,1,1,"",40,6,7,5,"",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,7,10,0,0,0,0,0,7,5,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,252001,0
"864",864,2522,"lw",1,"",10,1,1,"",56,10,10,8,"",10,10,10,10,10,10,7,9,7,10,10,10,8,10,9,10,10,10,10,10,7,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,252201,0
"866",866,2526,"cs",6,"",10,1,2,"",20,10,10,5,"",0,0,10,8,0,0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252601,1
"867",867,2528,"ms",1,"",10,1,1,"",47,10,10,7,"",10,10,10,8,8,10,8,8,10,10,10,10,8,8,8,8,9,9,8,8,10,8,7,10,7,6,8,10,10,10,9,7,6,10,6,6,0,0,5,0,0,0,0,5,0,252801,0
"868",868,2529,"nl",5,"",10,1,2,"",21,10,10,7,"",10,10,10,0,0,0,10,0,0,10,10,10,10,0,0,10,9,10,0,0,10,8,8,8,0,0,8,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252901,1
"869",869,2530,"sk",1,"",9,2,1,"",52,10,10,8,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253001,0
"870",870,2531,"ra",1,"",10,2,2,"",48,10,10,4,"",5,4,10,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253101,1
"871",871,2532,"bap",1,"",10,1,1,"",64,10,10,9,"",10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253201,0
"872",872,2533,"ns",1,"",10,1,1,"",43,10,10,7,"",6,8,0,10,0,0,10,0,0,10,10,0,0,10,10,10,0,0,10,10,10,4,10,0,2,2,2,2,6,4,4,4,0,0,4,4,10,4,10,2,2,2,2,10,10,253301,0
"873",873,2535,"ab",1,"",10,1,1,"",47,10,10,4,"",10,4,4,6,6,6,4,4,4,4,8,8,0,0,0,4,4,1,0,0,0,10,5,0,0,0,4,0,0,0,0,1,0,0,0,0,6,9,0,0,0,1,0,0,1,253501,0
"874",874,2536,"mo",1,"",10,1,1,"",54,10,10,3,"",NA,10,10,10,10,10,7,8,7,7,10,10,10,9,7,8,10,8,8,7,8,10,10,10,0,10,10,10,10,10,10,0,4,10,10,10,10,7,10,0,0,10,10,10,10,253601,0
"875",875,2537,"jr",1,"",10,1,1,"",47,8,8,7,"",10,2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253701,0
"876",876,2540,"cc",8,"academic",6,5,2,"",60,10,10,8,"",NA,0,6,0,0,4,8,0,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254001,1
"878",878,2543,"ls",1,"",10,1,2,"",45,8,8,8,"",10,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254301,1
"879",879,2545,"jb",5,"",10,1,2,"",19,6,10,4,"",10,6,8,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254501,1
"880",880,2546,"a",6,"",7,2,2,"",20,7,3,4,"",NA,6,2,9,3,6,9,0,7,2,1,-5,-2,10,2,0,4,6,9,3,-2,2,5,5,8,7,7,8,-1,5,5,8,4,7,6,8,3,8,8,6,8,8,6,8,9,254601,1
"881",881,2548,"pp",5,"",9,1,1,"",19,5,7,4,"",NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254801,0
"882",882,2550,"sm",5,"",10,1,2,"",19,10,10,5,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255001,1
"883",883,2552,"mh",1,"",10,3,1,"",50,6,9,8,"",10,8,10,7,10,10,6,7,0,0,4,4,0,0,6,7,10,9,8,0,0,9,10,9,9,0,0,9,10,10,8,8,0,0,9,10,7,7,7,10,9,9,9,5,8,255201,0
"885",885,2554,"dm",1,"",10,1,1,"",36,10,10,4,"",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,7,0,0,0,0,0,7,10,10,10,10,10,10,10,10,10,10,10,0,0,7,8,9,4,5,10,4,10,0,255401,0
"886",886,2556,"cf",3,"",10,1,1,"",21,7,7,4,"",10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255601,0
"887",887,2557,"lk",1,"",9,1,1,"",49,7,8,5,"",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255701,0
"888",888,2559,"tara",1,"",10,1,1,"",48,10,10,8,"",10,7,10,4,0,0,0,0,0,-1,4,0,1,5,4,7,7,5,0,0,6,7,0,0,6,0,0,0,4,3,0,0,0,0,0,0,8,7,6,0,0,5,7,0,0,255901,0
"889",889,2560,"sl",1,"",10,1,1,"",36,10,10,8,"",9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,256001,0
"890",890,2566,"grandmother",4,"",10,2,1,"",NA,10,10,8,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256601,0
"891",891,2568,"mom",1,"",10,1,1,"",43,10,10,7,"",NA,10,10,6,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256801,0
"892",892,2569,"mom",1,"",10,1,1,"",42,10,10,5,"",10,0,0,10,10,0,10,10,0,10,10,10,0,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256901,0
"893",893,2570,"m",1,"",10,1,1,"",43,10,10,8,"",10,-2,-2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257001,0
"894",894,2575,"mu",1,"",10,3,1,"",44,5,5,7,"",NA,2,1,4,7,0,4,6,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257501,0
"895",895,2576,"sc",1,"",9,2,1,"",43,10,10,7,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257601,0
"896",896,2577,"sh",3,"",10,1,1,"",17,10,10,5,"",NA,10,10,10,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257701,0
"897",897,2578,"mr",1,"",10,2,1,"",52,8,8,6,"",NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257801,0
"898",898,2579,"mh",1,"",10,2,1,"",52,8,8,6,"",NA,9,9,6,1,1,9,9,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257901,0
"899",899,2582,"km",3,"",-3,5,1,"",NA,-4,-5,5,"",1,-4,-1,-2,-2,-1,0,5,8,9,9,10,10,4,-1,8,-1,5,10,6,3,9,1,-1,2,-1,1,3,10,-1,3,0,0,5,10,8,10,7,6,10,6,8,9,10,-3,258201,0
"900",900,2585,"sw",1,"",10,1,1,"",36,10,10,6,"",6,10,10,10,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258501,0
"901",901,2586,"jf",1,"",2,1,1,"",45,10,10,5,"",-8,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258601,0
"902",902,2590,"tc",1,"",10,1,1,"",48,7,8,7,"",10,8,8,10,9,7,9,7,2,0,10,10,6,10,0,10,10,8,10,0,10,3,3,6,0,0,0,0,9,5,8,0,3,0,1,5,7,3,10,0,1,0,0,8,10,259001,0
"903",903,2591,"jlk",1,"",9,1,1,"",46,7,6,8,"",NA,10,10,10,10,10,9,9,9,9,8,8,7,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259101,0
"904",904,2594,"rr",1,"",10,1,1,"",48,8,9,7,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259401,0
"905",905,2596,"as",1,"",10,1,1,"",52,10,10,7,"",10,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259601,0
"906",906,2598,"a.m",1,"",9,1,1,"",55,9,10,7,"",10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259801,0
"907",907,2600,"kh",5,"",9,1,2,"",23,5,7,4,"",8,7,9,6,10,5,5,10,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260001,1
"908",908,2601,"jp",1,"",10,1,1,"",48,10,10,7,"",10,2,4,4,4,8,6,9,9,10,9,9,3,10,7,0,0,0,0,0,0,8,0,0,0,0,0,0,10,9,0,7,0,9,0,0,6,10,0,0,0,0,0,0,0,260101,0
"909",909,2603,"ad",5,"",10,1,1,"",18,8,10,5,"",4,6,7,2,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260301,0
"910",910,2605,"mw",1,"",10,1,1,"",46,10,10,8,"",10,10,10,7,5,0,8,8,6,2,6,6,0,0,0,9,10,10,0,0,0,8,6,9,9,7,0,0,8,8,0,0,0,7,0,0,6,0,0,0,0,8,0,0,8,260501,0
"911",911,2606,"ml",1,"",8,1,NA,"",41,10,7,7,"",9,9,7,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260601,NA
"912",912,2607,"cb",1,"",10,2,1,"",47,9,10,8,"",NA,10,10,10,10,10,10,10,10,10,7,6,7,4,8,3,7,8,8,8,10,0,0,0,0,0,5,0,0,0,0,0,0,5,0,8,6,6,7,6,7,0,0,0,0,260701,0
"913",913,2608,"jb",1,"",10,1,1,"",42,10,10,8,"",10,10,10,3,6,-2,2,2,6,10,0,0,4,10,10,2,2,8,10,10,10,2,2,-2,3,-2,-3,-1,6,6,-2,0,0,0,4,4,4,4,6,0,0,0,3,0,6,260801,0
"914",914,2610,"dm",1,"",9,2,1,"",40,10,10,7,"",0,0,8,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261001,0
"915",915,2614,"cb",1,"",10,1,1,"",40,10,10,3,"",0,10,0,10,NA,0,10,0,9,10,10,0,7,10,10,8,0,10,2,0,0,6,0,10,1,0,0,10,6,0,0,6,6,6,0,0,6,6,3,1,5,0,0,0,0,261401,0
"916",916,2616,"sc",1,"",10,1,1,"",NA,10,10,8,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261601,0
"917",917,2617,"jm",1,"",10,1,1,"",50,10,10,7,"",10,8,8,9,0,7,10,8,8,10,10,7,4,10,10,0,0,0,10,10,10,6,0,2,10,10,10,10,6,0,0,10,10,10,10,10,8,0,0,10,10,10,10,10,10,261701,0
"919",919,2619,"sr",4,"",8,1,2,"",53,10,10,7,"",NA,0,0,0,0,0,9,10,7,6,-2,-4,-2,0,-8,1,1,0,0,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261901,1
"921",921,2629,"m",1,"",10,1,1,"",39,6,6,5,"",10,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262901,0
"922",922,2630,"ak",1,"",10,1,2,"",46,7,8,6,"",NA,4,8,6,9,8,10,8,6,6,10,9,8,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263001,1
"923",923,2631,"mw",8,"academic",8,6,2,"",45,10,8,8,"",4,0,0,10,3,0,10,0,0,6,1,4,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263101,1
"925",925,2636,"mf",1,"",7,2,1,"",46,10,10,7,"",7,10,7,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263601,0
"926",926,2637,"kaylee",3,"",10,1,1,"",18,10,10,4,"",NA,2,NA,10,10,10,10,10,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263701,0
"927",927,2638,"al",8,"academic",7,6,1,"",40,10,10,8,"",7,0,0,0,0,4,4,-10,5,5,8,4,4,0,4,2,-6,3,1,6,10,0,-2,2,-1,4,8,10,3,-1,0,0,0,9,9,8,6,-1,-1,-1,0,6,10,5,7,263801,0
"928",928,2639,"mother",1,"",9,3,1,"",43,7,6,8,"",0,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263901,0
"929",929,2641,"mom",1,"",NA,1,1,"",197,-3,-4,3,"",4,2,-6,7,8,2,-6,4,0,-2,1,-5,3,1,3,0,-2,3,-2,-4,4,4,-4,0,-4,-4,-1,-1,-4,-2,4,-5,-4,1,1,-6,4,-5,-6,2,2,-4,0,4,-4,264101,0
"930",930,2642,"sm",6,"",9,4,1,"",62,10,9,7,"",3,10,6,0,0,-6,0,0,6,4,0,0,3,3,0,0,0,-6,-6,0,0,7,5,0,0,0,0,0,7,6,4,0,0,0,0,7,10,10,0,0,0,0,0,10,8,264201,0
"931",931,2643,"rs",1,"",8,1,1,"",57,10,10,5,"",9,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264301,0
"932",932,2644,"bc",3,"",10,1,1,"",20,10,10,8,"",10,6,10,4,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264401,0
"933",933,2649,"cw",5,"",10,1,2,"",21,10,10,6,"",1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264901,1
"934",934,2652,"ty",1,"",10,1,1,"",41,10,10,8,"",10,10,10,6,6,10,10,6,7,9,7,6,5,0,1,10,7,8,3,8,8,10,10,7,8,9,5,10,7,10,6,4,4,10,5,5,10,8,10,5,5,5,5,4,2,265201,0
"935",935,2653,"dp",1,"",10,1,1,"",41,10,10,5,"",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,265301,0
"936",936,2655,"mom",1,"",2,2,1,"",40,10,10,6,"",4,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265501,0
"937",937,2656,"m b",1,"",10,2,1,"",40,10,10,6,"",NA,10,10,10,10,10,9,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,0,10,10,10,10,10,0,0,0,0,10,10,10,10,10,10,10,10,0,265601,0
"938",938,2657,"ml",1,"",10,1,1,"",41,10,8,7,"",9,9,9,9,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265701,0
"939",939,2662,"ab",1,"",5,2,1,"",48,10,10,7,"",2,3,3,8,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266201,0
"940",940,2663,"lh",1,"",10,1,1,"",46,4,5,7,"",10,10,10,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266301,0
"941",941,2664,"td",1,"",8,1,1,"",48,10,10,7,"",6,4,10,10,2,6,10,0,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266401,0
"942",942,2666,"sl",1,"",10,1,1,"",47,10,10,8,"",10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266601,0
"943",943,2668,"mom",1,"",10,1,1,"",41,10,10,8,"",10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266801,0
"944",944,2669,"ag",1,"",10,2,1,"",40,10,10,8,"",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266901,0
"946",946,2672,"mother",1,"",10,1,1,"",53,4,6,6,"",6,10,8,6,3,6,5,3,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267201,0
"947",947,2675,"im",7,"",5,5,2,"",50,4,7,9,"",NA,10,10,0,10,10,0,0,0,0,7,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,7,5,4,0,0,0,0,2,1,0,0,1,0,0,0,0,267501,1
"948",948,2676,"at",1,"",9,1,1,"",39,4,4,3,"",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267601,0
"949",949,2677,"lz",1,"",10,1,1,"",49,10,10,8,"",NA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,9,9,0,0,10,10,10,0,0,0,0,0,10,267701,0
