"","egoID","alter.initial","egoalt_relation","egoalt_relate_othr","egoalter_tie","egoalter_commfreq","alter.gender","alt.gender_othr","alter.age","alter.acad.val","alter.career.val","alter.edu","alter.edu.othr","e0102","e0103","e0203","e0104","e0204","e0304","e0105","e0205","e0305","e0405","e0106","e0206","e0306","e0406","e0506","e0107","e0207","e0307","e0407","e0507","e0607","e0108","e0208","e0308","e0408","e0508","e0608","e0708","e0109","e0209","e0309","e0409","e0509","e0609","e0709","e0809","e0110","e0210","e0310","e0410","e0510","e0610","e0710","e0810","e0910","alterID","alter.genderbi"
"736",2287,"bm","1","",10,1,"1","",49,5,4,7,"","10","10","6","10","5","10","6","6","6","0","3","5","2","2","-10","10","10","10","10","4","-5","8","10","5","5","3","-7","7","10","7","10","10","5","-7","7","3","4","4","0","0","-8","0","5","0","0","228701",0
"737",2290,"sg","3","",9,1,"1","",29,10,10,7,"","0","0","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229001",0
"738",2293,"sl","1","parentfig",8,2,"2","",62,10,8,7,"","","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229301",1
"739",2294,"t.e.","1","",8,2,"1","",45,7,7,7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229401",0
"740",2302,"tm","1","",6,1,"1","",54,10,10,4,"","0","6","6","8","0","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230201",0
"741",2306,"lc","1","",10,1,"1","",37,9,10,7,"","","10","0","5","6","0","10","9","10","6","10","7","9","0","10","10","0","10","0","10","10","10","0","8","0","10","10","7","10","1","10","0","10","10","8","10","8","7","8","4","9","10","7","6","6","230601",0
"742",2307,"sb","6","",10,1,"1","",NA,10,10,5,"","10","10","0","6","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230701",0
"743",2308,"cs","1","",9,1,"1","",38,10,10,7,"","","10","10","10","10","10","4","-1","-1","5","10","0","0","0","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230801",0
"744",2309,"al","5","",10,1,"1","",19,4,8,4,"","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","230901",0
"745",2310,"tw","1","",10,1,"1","",38,7,5,8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231001",0
"746",2311,"kf","8","academic",10,4,"1","",NA,7,9,8,"","6","0","7","7","3","0","9","6","0","5","6","10","10","0","7","0","0","0","0","1","7","8","7","1","1","9","5","1","10","6","0","6","6","10","3","0","0","10","0","4","4","0","7","0","5","231101",0
"747",2312,"ys","1","",10,1,"1","",49,10,10,7,"","","10","10","10","10","10","10","8","6","6","10","9","7","6","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231201",0
"748",2314,"rm","1","",4,1,"1","",54,8,5,7,"","2","3","4","8","7","9","5","2","8","6","3","1","9","8","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231401",0
"749",2318,"sl","1","",10,1,"1","",54,10,10,8,"","10","10","10","10","10","7","10","10","6","10","10","10","7","10","10","0","0","1","0","0","0","8","8","8","8","0","5","1","10","10","5","8","10","8","0","6","0","0","10","0","0","10","8","10","0","231801",0
"750",2322,"gb","6","",8,1,"1","",18,10,10,4,"","-5","-10","6","7","3","3","7","4","3","8","0","0","10","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","232201",0
"751",2328,"ac","5","",10,1,"2","",21,10,10,3,"","6","7","10","10","10","6","6","10","10","10","4","10","10","10","10","10","10","10","5","10","10","4","6","5","10","6","5","5","6","10","9","10","10","8","7","7","2","8","7","4","6","6","6","2","2","232801",1
"752",2330,"jovan d ","1","",10,1,"1","",40,8,10,4,"","10","10","8","10","10","10","2","1","3","6","2","8","-4","-1","4","3","4","4","8","3","3","1","1","1","3","-1","1","7","-4","2","1","-3","2","1","5","-4","10","10","10","10","10","10","10","10","10","233001",0
"753",2331,"clf","1","",7,2,"1","",54,10,10,7,"","10","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233101",0
"754",2332,"bt","1","",10,1,"1","",43,6,5,7,"","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233201",0
"755",2333,"eb","1","",9,1,"1","",51,10,10,6,"","10","10","8","1","1","1","1","2","0","10","0","0","0","7","7","0","0","0","2","2","5","0","0","0","5","7","0","3","0","0","5","5","5","0","9","4","2","0","3","1","0","0","4","2","3","233301",0
"756",2334,"cw","1","",10,1,"2","",40,10,10,4,"","10","-2","2","4","4","10","0","0","4","0","0","0","0","0","10","8","7","3","0","0","0","10","10","3","3","0","0","10","10","10","10","10","10","10","10","10","0","0","0","0","10","10","0","0","10","233401",1
"757",2335,"jp","1","",10,1,"1","",50,9,9,5,"","10","10","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233501",0
