"","egoID","Q94_1","Q94_2","Q94_3","Q94_4","Q94_5","Q94_6","Q96_1","Q96_2","Q96_3","Q96_4","Q96_5","Q96_6","Q98_1","Q98_2","Q98_3","Q98_4","Q98_5","Q98_6","Q100_1","Q100_2","Q100_3","Q100_4","Q100_5","Q100_6","Q102_1","Q102_2","Q102_3","Q102_4","ego.careerval","ego.acadval","ego.gender","ego.race","ego.workhours","ego.studentorg","ego.belong","ego.age","ego.year","ext_reg","int_toknow","ext_iden","int_stim","amotiv","int_accomp","ext_intro","ego.genderbi","ego.racetri","mean.clo","mean.comm","mean.careerval","mean.acadval","mean.edu","alt.edudiverse","alt.type","alt.age","alt.agesd","alt.female","alt.male","alt.genratio"
"464",1824,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,4,1,5,5,10,10,1,1,25,2,4,5,1,5,5,5,4.75,1,5,5,0,1,10,1,10,10,4.33333333333333,2,3,32.6666666666667,12.8582010146573,1,2,0.5
"465",1829,3,4,5,2,1,3,4,4,3,5,2,1,4,4,5,3,5,2,1,4,4,5,3,5,1,1,4,4,9,9,1,1,0,3,4,4,1,4.25,3.25,5,1.75,1,3.75,4,0,1,8.4,2.4,7.4,7,6,3,5,37.8,15.1888116717537,0,5,0
"466",1830,4,4,4,1,1,4,1,4,5,4,1,1,4,1,4,5,3,1,1,1,1,4,5,2,1,1,3,1,9,8,1,1,0,3,1,4,3,4,4.75,3.25,1,1,3,1,0,1,9,3.33333333333333,9.66666666666667,7.33333333333333,5.33333333333333,3,4,33.3333333333333,23.094010767585,1,2,0.5
"467",1831,3,3,3,3,3,3,4,3,NA,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,4,1,1,16,3,3,4,1,3,NA,3.25,3.25,3.25,3,3.25,0,1,10,1.5,10,10,6.25,2,5,42,24.7559516653499,3,5,0.6
"468",1832,5,1,5,1,1,3,2,5,1,5,1,1,3,3,5,1,4,1,1,3,3,5,2,2,1,1,2,3,4,9,1,1,0,1,3,4,1,5,1.25,4,1,1,2.75,2.75,0,1,8.5,1.5,6.75,6,6.25,4,4,38.75,14.0564338768172,2,2,1
"469",1833,2,5,5,1,1,4,3,5,4,5,4,1,5,5,2,5,4,3,1,5,4,2,5,4,3,1,5,4,10,10,1,1,25,3,5,5,1,2.75,4.75,4.5,2.75,1,4.75,4,0,1,7.5,2,6.75,8,5.5,4,4,48.25,8.61684396980704,1,3,0.333333333333333
"470",1834,5,4,5,4,1,4,4,5,4,5,3,1,3,4,4,4,5,3,1,3,3,5,5,4,3,1,4,4,10,10,2,1,0,1,5,5,1,4.75,4.25,4.75,3.25,1,3.5,3.75,1,1,8.6,3,9.1,9,6.4,3,5,31.8333333333333,21.9491837357717,7,3,2.33333333333333
"471",1837,1,2,5,1,1,2,5,1,2,2,3,2,4,3,1,2,2,1,NA,5,4,1,2,2,1,1,3,5,10,10,1,2,0,3,5,6,1,1,2,2.75,1.5,NA,3.5,4.25,0,2,10,2,10,10,5,2,3,38.3333333333333,2.88675134594813,1,2,0.5
"472",1838,1,4,4,1,1,3,4,1,4,2,3,1,3,1,1,5,2,2,1,4,4,1,4,1,4,1,4,4,0,8,1,1,0,3,3,22,3,1,4.25,2.25,2.5,1,3.5,3.25,0,1,10,1,0,10,7,1,3,32,1.4142135623731,1,1,1
"473",1839,4,3,2,1,1,3,5,5,4,5,4,1,4,5,5,3,2,2,1,3,2,5,4,5,5,1,5,5,9,6,1,1,8,3,5,5,1,4.75,3.5,3.5,3,1,3.75,4.25,0,1,8.5,2.2,9,8.9,7.3,3,4,44.7,13.7198153534708,7,3,2.33333333333333
