"","egoID","Q94_1","Q94_2","Q94_3","Q94_4","Q94_5","Q94_6","Q96_1","Q96_2","Q96_3","Q96_4","Q96_5","Q96_6","Q98_1","Q98_2","Q98_3","Q98_4","Q98_5","Q98_6","Q100_1","Q100_2","Q100_3","Q100_4","Q100_5","Q100_6","Q102_1","Q102_2","Q102_3","Q102_4","ego.careerval","ego.acadval","ego.gender","ego.race","ego.workhours","ego.studentorg","ego.belong","ego.age","ego.year","ext_reg","int_toknow","ext_iden","int_stim","amotiv","int_accomp","ext_intro","ego.genderbi","ego.racetri","mean.clo","mean.comm","mean.careerval","mean.acadval","mean.edu","alt.edudiverse","alt.type","alt.age","alt.agesd","alt.female","alt.male","alt.genratio","ego.ager","mean.eigen","dens","mean.deg","mean.bet","deg.centr","alter.aca.value.avg","alter.career.value.avg","density","gendersim","agediver","belong_cat"
"62",1107,5,3,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,1,5,20,3,3,NA,NA,4,3.5,4,4,4,3.5,3.5,0,3,8.2,3.3,10,10,5.8,4,4,25.9,9.80306074652198,4,6,0.666666666666667,NA,0.733676718234556,0.392857142857143,2.75,3.1875,0.178571428571429,10,10,0.392857142857143,-0.25,2.25,0
"63",1108,1,3,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,2,2,0,3,5,NA,NA,3,3.5,4,4,4,3.5,3.5,1,2,10,1,10,10,5.66666666666667,2,4,32.6666666666667,17.9536440126603,1,2,0.5,NA,0.804737854124365,0.666666666666667,1.33333333333333,0.333333333333333,0.333333333333333,10,10,0.666666666666667,0.333333333333333,1.58496250072116,1
"64",1118,5,5,5,3,1,2,4,5,3,5,4,1,2,2,3,5,5,3,1,2,2,5,5,5,1,1,2,3,7,5,2,1,20,1,5,NA,NA,4.5,4.5,5,2.75,1,2,2.75,1,1,7.6,3.1,8.9,9.1,7.3,4,3,133.4,304.387983410062,7,3,2.33333333333333,NA,0.454635673899425,0.25,2,2.38888888888889,0.25,9,8.77777777777778,0.25,-0.555555555555556,2.94770277922009,1
"65",1121,1,5,5,3,1,4,5,4,5,4,3,2,3,3,3,3,3,3,1,4,4,3,3,3,4,1,3,3,10,10,1,2,0,3,3,NA,NA,2.75,4,3.75,3.25,1.25,3.5,3.75,0,2,9.8,1.4,10,9.8,10,1,4,NA,NA,3,2,1.5,NA,0.899382315674275,0.9,3.6,0.2,0.1,9.8,10,0.9,0.2,0,0
"66",1122,4,3,5,2,2,1,5,5,5,5,2,1,4,4,5,5,5,1,1,3,5,5,5,5,2,1,2,4,7,8,1,1,0,3,4,NA,NA,4.75,4.5,5,1.75,1.25,2.5,4.5,0,1,4.75,2,5.25,5.25,6.5,2,3,44.5,11.9582607431014,1,3,0.333333333333333,NA,0.7796954097237,0.666666666666667,2,0.5,0.333333333333333,5.25,5.25,0.666666666666667,-0.5,2,1
"67",1126,5,4,5,3,2,2,3,5,3,5,3,3,4,4,5,4,5,3,2,4,4,5,3,5,4,2,4,4,10,10,1,1,15,1,2,NA,NA,5,3.5,5,3.25,2.25,3.5,3.75,0,1,9.33333333333333,2.33333333333333,10,10,8,3,3,50.5,7.77817459305202,1,2,0.5,NA,1,1,1,0,0,10,10,1,0,0,0
"68",1130,5,4,2,1,3,1,2,5,2,4,1,4,2,2,5,2,4,1,3,1,1,5,2,3,1,3,1,1,10,6,2,1,12,1,5,NA,NA,5,2.5,3.25,1,3.25,1.25,1.5,1,1,10,1.5,10,10,7,1,2,51,0,1,1,1,NA,1,1,1,0,0,10,10,1,0,0,1
"69",1131,5,5,5,3,1,2,5,5,5,5,2,1,5,5,5,5,5,2,1,5,5,5,5,5,4,1,5,5,9,9,1,1,20,3,4,NA,NA,5,5,5,2.75,1,4.25,5,0,1,9,2.33333333333333,10,8.66666666666667,5.66666666666667,2,3,39.3333333333333,17.2143351115671,2,1,2,NA,0.725565603609701,0.666666666666667,1.33333333333333,0.333333333333333,0.333333333333333,8.66666666666667,10,0.666666666666667,0.333333333333333,1.58496250072116,1
"70",1132,1,5,5,3,1,4,4,4,3,5,2,1,3,3,3,5,4,4,1,4,4,4,4,5,2,1,3,3,10,10,2,2,0,3,2,NA,NA,3,4.25,4.75,2.75,1,3.5,3.5,1,2,6.4,2.4,9.4,9.6,4.8,3,2,45.6,6.94982014155762,2,3,0.666666666666667,NA,0.836234267583793,1,4,0.5,0,9.6,9.4,1,0.2,1.52192809488736,0
"71",1137,4,3,4,2,4,1,5,4,3,4,1,5,2,2,4,4,3,1,2,1,2,4,2,2,1,3,1,3,6,3,3,1,10,1,2,NA,NA,4,3,3.25,1.25,3.5,1.25,3,NA,1,6,2.25,8,8.25,7.25,3,4,44.5,16.5227116418583,2,1,2,NA,0.97020388502218,1,2,0,0,7.66666666666667,7.66666666666667,1,0.333333333333333,1.58496250072116,0
"72",1141,5,3,4,1,2,3,4,5,3,5,1,1,3,3,5,3,4,1,1,2,3,5,3,4,1,1,2,3,10,8,1,1,10,3,3,NA,NA,5,3,4.25,1,1.25,2.5,3.25,0,1,10,2,9,7.5,6,2,2,55,4.24264068711928,1,1,1,NA,1,1,1,0,0,7.5,9,1,0,1,0
"73",1143,4,1,3,2,4,2,3,4,1,4,1,4,3,1,3,1,3,1,3,2,3,4,2,4,1,1,1,4,10,6,1,2,35,3,2,NA,NA,3.75,1.25,3.5,1.25,3,2,2.75,0,2,10,1.75,10,8.25,5,3,3,36.75,11.842719282327,3,1,3,NA,0.886513865673042,0.666666666666667,2,0.5,0,8.25,10,0.666666666666667,0.5,1.5,0
"74",1145,2,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,3,4,4,4,4,4,4,2,3,4,10,10,1,1,26,3,3,NA,NA,3.5,4,4,3.5,2.25,3.25,4,0,1,9.75,1,9.5,9.25,5.5,2,3,37.5,19.672315572906,2,2,1,NA,0.868561728572504,0.833333333333333,2.5,0.375,0.166666666666667,9.25,9.5,0.833333333333333,0,2,0
"75",1147,5,3,3,1,3,1,1,5,3,4,1,3,1,2,4,2,4,1,3,1,2,5,2,1,1,2,1,1,10,4,2,1,0,1,2,NA,NA,4.75,2.5,3,1,2.75,1,1.5,1,1,7.8,1.6,8.2,7,7.2,4,3,NA,NA,2,3,0.666666666666667,NA,0.754970354689117,0.666666666666667,1.33333333333333,0.333333333333333,0.333333333333333,7.66666666666667,8,0.666666666666667,0.333333333333333,0,0
"76",1149,5,4,4,3,2,3,5,5,4,5,2,1,3,3,5,5,5,2,1,3,2,5,5,5,2,1,3,4,7,6,2,1,27,1,5,NA,NA,5,4.5,4.75,2.25,1.25,3,3.5,1,1,10,2.4,9.6,10,6,3,4,53,16.109003693587,2,3,0.666666666666667,NA,0.789152575042348,0.7,2.8,0.6,0.05,10,9.6,0.7,0.2,2.32192809488736,1
"77",1150,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,4,4,10,10,1,5,20,3,3,NA,NA,4.25,3.75,4.5,3.75,3.75,4,4,0,3,5.9,3.8,10,10,6.6,3,4,30.1,10.9893888213434,4,6,0.666666666666667,NA,0.563286351774597,0.6,5.4,3.71666666666667,0.4,10,10,0.6,-0.2,2.92192809488736,0
"78",1151,2,2,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,4,1,2,2,3,7,10,1,1,5,3,3,NA,NA,3.5,3,3.75,2.75,2.5,2.5,3.25,0,1,8.4,2.4,9.8,10,7.2,3,5,44.8,14.5155089473294,2,3,0.666666666666667,NA,0.79378803219076,0.5,2,1.2,0.25,10,9.8,0.5,-0.2,1.92192809488736,0
