"","egoID","alter.initial","egoalt_relation","egoalt_relate_othr","egoalter_tie","egoalter_commfreq","alter.gender","alt.gender_othr","alter.age","alter.acad.val","alter.career.val","alter.edu","alter.edu.othr","e0102","e0103","e0203","e0104","e0204","e0304","e0105","e0205","e0305","e0405","e0106","e0206","e0306","e0406","e0506","e0107","e0207","e0307","e0407","e0507","e0607","e0108","e0208","e0308","e0408","e0508","e0608","e0708","e0109","e0209","e0309","e0409","e0509","e0609","e0709","e0809","e0110","e0210","e0310","e0410","e0510","e0610","e0710","e0810","e0910","alterID","alter.genderbi"
"1328",1641,"nj","3","",10,1,"1","",29,10,10,8,"","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","164102",0
"1329",1642,"ch","1","",10,1,"1","",50,10,10,8,"","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","164202",0
"1330",1645,"km","1","",10,2,"2","",54,8,10,4,"","10","8","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164502",1
"1331",1647,"lu","1","",10,1,"2","",48,7,10,4,"","","9","8","6","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164702",1
"1332",1648,"pa","1","",10,1,"2","",57,8,10,5,"","7","9","8","8","8","10","8","8","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164802",1
"1334",1650,"db","4","",10,1,"1","",61,9,9,7,"","10","8","8","10","10","10","0","0","0","0","0","0","0","0","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165002",0
"1337",1656,"cg","1","",10,1,"1","",42,10,10,4,"","8","8","10","10","6","8","0","0","0","0","0","4","4","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165602",0
"1339",1659,"ad","3","",9,1,"1","",19,8,10,4,"","9","9","9","9","10","10","9","10","10","8","9","7","7","7","8","10","10","10","0","0","0","8","9","10","0","0","0","7","10","10","10","7","8","0","8","10","5","5","5","8","9","0","5","0","0","165902",0
"1340",1660,"nm","4","",10,2,"1","",67,7,8,4,"","10","10","10","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","7","7","0","","","","","","","","","","","","","","","","","","","","","","","","","166002",0
"1341",1661,"jr","1","",10,1,"2","",39,10,10,6,"","","6","0","6","6","6","6","6","6","6","10","10","0","0","0","10","10","0","10","0","10","10","10","0","0","0","10","10","10","10","6","10","0","0","0","6","10","10","7","10","3","10","10","6","10","166102",1
"1342",1663,"ta","1","",10,1,"2","",39,10,10,7,"","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166302",1
"1343",1664,"rp","1","",10,1,"2","",45,10,10,4,"","","10","10","10","10","10","10","10","10","10","9","9","10","10","9","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","166402",1
"1344",1665,"gl","1","",10,1,"2","",50,10,10,8,"","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","166502",1
"1345",1667,"gq","7","",10,6,"2","",999,10,10,4,"","","7","7","10","5","8","4","-2","-7","7","10","4","5","10","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166702",1
"1346",1668,"em","8","academic",8,3,"2","",38,10,8,7,"","6","7","8","8","8","5","0","6","9","5","0","0","0","5","7","10","9","8","10","8","8","7","4","3","5","7","4","9","7","5","6","8","8","6","7","9","7","8","6","8","9","7","10","9","5","166802",1
"1348",1671,"lc","8","academic",10,6,"2","",52,10,10,7,"","","10","5","10","5","10","10","5","10","10","10","0","4","10","4","10","10","0","10","0","10","10","1","10","10","10","10","0","10","0","10","10","10","10","0","10","10","0","10","10","10","10","0","10","0","167102",1
"1349",1672,"rd","1","",10,2,"2","",36,10,10,2,"","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167202",1
"1350",1673,"rd","1","",10,2,"2","",36,10,10,2,"","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167302",1
"1352",1677,"lm","1","",10,1,"2","",42,2,10,8,"","-7","-10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167702",1
"1353",1678,"p","6","",10,1,"2","",20,6,10,4,"","10","10","10","4","0","0","7","0","0","10","0","0","0","8","10","","","","","","","4","0","0","10","10","10","","0","0","0","3","3","2","0","10","4","0","0","10","10","10","0","10","10","167802",1
"1354",1680,"jlm","1","",10,1,"1","",50,10,10,4,"","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","168002",0
"1355",1682,"gd","3","",10,2,"2","",24,5,9,7,"","6","-10","-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168202",1
"1356",1686,"jk","1","",9,2,"1","",36,8,9,8,"","10","8","8","10","9","9","8","6","10","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168602",0
"1359",1690,"jm","6","",10,1,"1","",20,3,3,5,"","7","5","10","6","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169002",0
"1360",1692,"jg","1","",10,1,"2","",NA,9,10,4,"","4","10","10","7","6","10","6","4","7","2","4","-1","5","1","0","-2","2","2","4","-1","6","3","1","6","6","-1","-1","7","5","4","1","1","4","-1","5","5","1","1","4","2","1","3","3","2","2","169202",1
"1361",1694,"md","6","",10,1,"1","",18,10,10,5,"","0","0","7","0","10","6","4","10","8","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169402",0
"1362",1695,"ed","1","",8,2,"2","",54,10,10,6,"","10","4","6","0","0","3","6","7","10","-4","0","0","2","7","-9","7","0","7","-2","0","7","9","0","0","-9","3","3","9","0","0","0","0","0","0","9","10","7","4","9","-3","5","6","10","10","10","169502",1
