"","egoID","from.alter","to.alter","weight_origin","weight"
"192",1325,"132501","132502",10,10
"193",1326,"132601","132602",10,10
"195",1328,"132801","132802",10,10
"196",1329,"132901","132902",4,4
"197",1330,"133001","133002",4,4
"198",1335,"133501","133502",10,10
"199",1337,"133701","133702",10,10
"201",1340,"134001","134002",10,10
"205",1350,"135001","135002",2,2
"206",1351,"135101","135102",10,10
"207",1353,"135301","135302",10,10
"210",1356,"135601","135602",2,2
"211",1358,"135801","135802",7,7
"212",1359,"135901","135902",5,5
"214",1363,"136301","136302",5,5
"216",1366,"136601","136602",3,3
"217",1367,"136701","136702",7,7
"220",1372,"137201","137202",6,6
"221",1375,"137501","137502",2,2
"222",1379,"137901","137902",10,10
"223",1380,"138001","138002",4,4
"224",1382,"138201","138202",10,10
"226",1385,"138501","138502",10,10
"229",1389,"138901","138902",4,4
"231",1391,"139101","139102",6,6
"233",1393,"139301","139302",10,10
"234",1394,"139401","139402",10,10
"235",1395,"139501","139502",10,10
"236",1399,"139901","139902",10,10
"237",1413,"141301","141302",9,9
"240",1417,"141701","141702",5,5
"242",1420,"142001","142002",9,9
"243",1421,"142101","142102",10,10
"246",1425,"142501","142502",3,3
"247",1426,"142601","142602",10,10
"248",1427,"142701","142702",10,10
"249",1430,"143001","143002",8,8
"251",1432,"143201","143202",10,10
"253",1434,"143401","143402",8,8
"255",1437,"143701","143702",9,9
"257",1440,"144001","144002",2,2
"260",1450,"145001","145002",10,10
"261",1451,"145101","145102",10,10
"262",1452,"145201","145202",8,8
"263",1453,"145301","145302",7,7
"265",1457,"145701","145702",4,4
"266",1458,"145801","145802",10,10
"267",1459,"145901","145902",10,10
"269",1462,"146201","146202",10,10
"272",1466,"146601","146602",10,10
"273",1467,"146701","146702",10,10
"275",1470,"147001","147002",9,9
"276",1471,"147101","147102",10,10
"278",1476,"147601","147602",10,10
"279",1477,"147701","147702",10,10
"280",1479,"147901","147902",10,10
"281",1480,"148001","148002",8,8
"283",1483,"148301","148302",7,7
"284",1485,"148501","148502",10,10
"286",1487,"148701","148702",7,7
"287",1488,"148801","148802",7,7
"288",1489,"148901","148902",6,6
